"","logFC","AveExpr","t","P.Value","adj.P.Val","B","type"
"ENSG00000276107.1",1.26889015943085,0.122657108523614,2.32916611482025,0.0295240984922074,0.0792279539053193,-4.18968683845087,"Stable"
"ENSG00000283196.2",-0.845753610706592,1.14622287615311,-2.32903817874605,0.0295321111094775,0.079238214715869,-4.18993158127494,"Stable"
"ENSG00000180347.13",-1.86633415559272,-1.11721910526751,-2.32861789819408,0.0295584472952713,0.0792976299868604,-4.19073552543682,"Stable"
"ENSG00000149403.13",1.3585382964697,0.922101705605524,2.32842752919495,0.0295703835594026,0.0792989604706768,-4.19109964917976,"Stable"
"ENSG00000005469.12",1.09652293583036,5.29837469536361,2.32839050919783,0.0295727052528188,0.0792989604706768,-4.19117045623879,"Stable"
"ENSG00000137648.19",2.23702447963817,-0.623298231916351,2.3283547313003,0.0295749492077684,0.0792989604706768,-4.191238886935,"Stable"
"ENSG00000186567.13",-1.10248797513926,1.38801598391136,-2.32833154062557,0.029576403787978,0.0792989604706768,-4.19128324231054,"Stable"
"ENSG00000140497.16",0.396989529538624,6.90764992780256,2.32827573945846,0.0295799040537691,0.0792989604706768,-4.19138996869127,"Stable"
"ENSG00000106628.11",0.60688633237243,6.23572826602439,2.3278774374238,0.0296048995964636,0.0793547230787452,-4.19215172465463,"Stable"
"ENSG00000173065.13",0.448889582768257,5.39557392659577,2.32737490391598,0.0296364639218388,0.0794280747443331,-4.19311271369113,"Stable"
"ENSG00000254605.1",0.877436480304116,-1.01932974440511,2.32700147601091,0.0296599391114583,0.0794797291730195,-4.19382673571317,"Stable"
"ENSG00000133624.13",-0.745255286116908,3.2737270512929,-2.32652379789784,0.029689992814156,0.0795350970413801,-4.1947399926304,"Stable"
"ENSG00000145882.11",0.592538928159765,3.88337716885002,2.32649607885838,0.0296917376506523,0.0795350970413801,-4.19479298431947,"Stable"
"ENSG00000229956.11",-0.609295401954276,-0.122147072729139,-2.32647261006995,0.0296932150193607,0.0795350970413801,-4.19483785032597,"Stable"
"ENSG00000287252.1",-1.90545002129944,0.506743683725128,-2.3262861159669,0.0297049572931705,0.0795552841791892,-4.19519436728771,"Stable"
"ENSG00000184575.12",0.60489671303413,6.93069252314431,2.32601540974251,0.0297220094317523,0.0795788599063062,-4.19571184060087,"Stable"
"ENSG00000234690.7",-1.27566108748354,0.461885981943572,-2.32601279632772,0.0297221740980151,0.0795788599063062,-4.19571683614601,"Stable"
"ENSG00000183044.12",1.08506555723277,5.1190399639903,2.32587523740341,0.0297308426065357,0.0795908036718412,-4.19597977546372,"Stable"
"ENSG00000146083.12",0.48673177130326,5.61967510189409,2.32531618026097,0.0297660964630449,0.0796739041594676,-4.1970482994537,"Stable"
"ENSG00000164430.16",0.782340088380717,2.80774711177803,2.32505470106231,0.0297825983944199,0.07970679558982,-4.19754801129779,"Stable"
"ENSG00000187642.9",1.25160275751716,-1.56208097464154,2.32495402928108,0.0297889540245454,0.079712527136554,-4.19774039581971,"Stable"
"ENSG00000214078.13",0.55028349867494,6.25402416275576,2.32480251752748,0.0297985216438802,0.0797268508367239,-4.19802992656359,"Stable"
"ENSG00000160208.13",0.402369380318179,5.83524017810352,2.32455544650277,0.0298141296712217,0.0797573294952382,-4.19850204180898,"Stable"
"ENSG00000198681.7",1.91983740358537,-3.31035877742422,2.32426626636751,0.029832407370433,0.0797949403024759,-4.19905458324743,"Stable"
"ENSG00000165617.15",0.787800613165926,3.70920261729471,2.32391802293743,0.0298544318498861,0.0798425608472284,-4.19971992363172,"Stable"
"ENSG00000103150.7",-0.652860869937577,4.03347400160751,-2.32355352948147,0.0298775000621815,0.0798901419846459,-4.20041624711837,"Stable"
"ENSG00000250899.3",-0.83517179853128,1.49384843691931,-2.3235006621695,0.0298808473106638,0.0798901419846459,-4.20051723873345,"Stable"
"ENSG00000173163.10",0.4229753886189,4.49858415302749,2.32343676350757,0.0298848934596825,0.0798901419846459,-4.20063930154097,"Stable"
"ENSG00000134717.18",0.409316898451395,6.01090774890994,2.3231813161502,0.029901073760453,0.0799221013498273,-4.20112725144133,"Stable"
"ENSG00000166435.15",0.626925429503359,3.68173380988682,2.32288584984489,0.0299197989458567,0.0799507193189433,-4.20169160480393,"Stable"
"ENSG00000151632.17",-2.77272233720586,4.43265101813033,-2.32287899068229,0.0299202337734616,0.0799507193189433,-4.20170470559206,"Stable"
"ENSG00000136643.12",0.478011404053834,5.22629251161722,2.32264904456396,0.0299348142673079,0.0799783822994909,-4.20214388222322,"Stable"
"ENSG00000133574.10",-0.880654007817161,5.17928493285985,-2.32243915379526,0.0299481287861227,0.080002655573831,-4.20254473231341,"Stable"
"ENSG00000151458.12",0.68921085662654,6.16583479501704,2.32235243083428,0.0299536316865111,0.0800060571846998,-4.20271034981365,"Stable"
"ENSG00000232573.1",-0.635469209493907,2.86104182528375,-2.32202536657182,0.0299743935154004,0.0800502086315564,-4.20333492132403,"Stable"
"ENSG00000167711.14",-1.00841921519351,1.97849662623049,-2.32172268228311,0.0299936195022904,0.0800902465422536,-4.20391288942391,"Stable"
"ENSG00000171148.13",0.563129708191102,6.28520630998265,2.32139567850258,0.0300144029569832,0.0801018498284456,-4.20453724453197,"Stable"
"ENSG00000162139.10",0.686272213111919,4.3401944552396,2.3213669729018,0.0300162280372385,0.0801018498284456,-4.20459205022922,"Stable"
"ENSG00000120068.7",-1.39637099898361,-0.408966317674053,-2.32135274729438,0.0300171325283291,0.0801018498284456,-4.20461921008709,"Stable"
"ENSG00000076826.10",1.6973879600117,4.19317386031523,2.32133281703403,0.0300183997741966,0.0801018498284456,-4.20465726123307,"Stable"
"ENSG00000238118.1",1.77200291686016,-3.32473569996483,2.32132120795735,0.0300191379485013,0.0801018498284456,-4.20467942536317,"Stable"
"ENSG00000158109.15",-0.363767388059709,6.33517422874416,-2.32109538055959,0.0300335007196865,0.0801288715957109,-4.20511056346191,"Stable"
"ENSG00000173805.16",-1.84662250051377,0.0325284161614542,-2.32096555364796,0.0300417606553697,0.0801339481296193,-4.20535841103229,"Stable"
"ENSG00000155561.15",0.602194414675727,6.31953241275332,2.32093230921514,0.0300438760908892,0.0801339481296193,-4.20542187537308,"Stable"
"ENSG00000105856.14",-0.401502164463859,6.30894404745254,-2.32047037117035,0.0300732846603421,0.0802010788996237,-4.20630366900163,"Stable"
"ENSG00000124172.10",0.605790521087767,7.6490751842386,2.32031040086289,0.0300834750870173,0.0802135230467563,-4.20660901195883,"Stable"
"ENSG00000268089.3",2.556381083538,-1.99960123714478,2.32026399368292,0.0300864319103794,0.0802135230467563,-4.20669758920822,"Stable"
"ENSG00000101298.15",-1.09738546750707,2.21282258716872,-2.32012221463175,0.0300954669860598,0.0802263040457029,-4.20696819592679,"Stable"
"ENSG00000185798.8",0.56756813264698,3.20374602235708,2.31978072328359,0.0301172392532711,0.0802730305361246,-4.20761994322596,"Stable"
"ENSG00000132825.7",0.400092026804144,3.99004933073772,2.31915804430924,0.030156976297506,0.08036761956095,-4.20880819891504,"Stable"
"ENSG00000225200.2",-0.708188420752622,0.517698142865972,-2.31872993441873,0.0301843246103966,0.080429170915659,-4.20962504882705,"Stable"
"ENSG00000174891.13",0.481213218761046,4.79017904928465,2.31819429111222,0.0302185744132206,0.0805090920564059,-4.21064694983684,"Stable"
"ENSG00000054118.15",0.341342684465118,7.6775197923562,2.31812144360103,0.0302232351449721,0.0805101698355573,-4.21078591753004,"Stable"
"ENSG00000272888.7",-0.448290818563592,4.84251804038137,-2.31779722604664,0.0302439863642875,0.080554103923805,-4.21140438014465,"Stable"
"ENSG00000135272.12",-0.767816434231414,5.894708118992,-2.31769246565932,0.0302506942453474,0.0805589489346449,-4.21160420524084,"Stable"
"ENSG00000013619.14",-0.953208209535657,3.01448292469608,-2.3175723218277,0.0302583888217327,0.0805589489346449,-4.21183336683429,"Stable"
"ENSG00000256269.10",0.626328333106657,3.99658986963252,2.31756930995551,0.0302585817393028,0.0805589489346449,-4.21183911156935,"Stable"
"ENSG00000025293.17",0.37165865956532,6.30017441326561,2.31748327804825,0.0302640927645245,0.0805622823999079,-4.21200320380628,"Stable"
